CustomerID,Tenure,WarehouseToHome,Churn,PreferredOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount,LoginFrequency
CUST-00050,29.0,35,0,Mobile Phone,3,Single,1,21.0,116.82,Rarely
CUST-00051,33.0,7,1,Grocery,2,Married,0,31.0,,Rarely
CUST-00052,3.0,44,1,Mobile Phone,2,Married,0,22.0,175.53,Weekly
CUST-00053,27.0,46,0,Grocery,2,Single,0,40.0,293.96,Monthly
CUST-00054,43.0,43,0,Grocery,5,Divorced,0,26.0,333.54,Weekly
CUST-00055,25.0,28,0,Grocery,5,Divorced,0,7.0,225.53,Weekly
CUST-00056,45.0,24,0,Mobile Phone,1,Single,0,16.0,67.77,Weekly
CUST-00057,51.0,27,0,Mobile Phone,4,Single,0,32.0,252.4,Rarely
CUST-00058,22.0,29,0,Laptop & Accessory,2,Married,0,22.0,256.79,Monthly
CUST-00059,22.0,46,0,Mobile Phone,3,Divorced,0,33.0,,Rarely
CUST-00060,60.0,48,0,Grocery,4,Single,0,4.0,344.71,Weekly
CUST-00061,32.0,34,0,Mobile Phone,3,Married,0,16.0,391.55,Rarely
CUST-00062,60.0,46,1,Grocery,3,Married,1,19.0,203.64,Monthly
CUST-00063,55.0,30,0,Laptop & Accessory,5,Single,0,23.0,,Daily
CUST-00064,12.0,5,1,Mobile Phone,2,Divorced,1,34.0,133.93,Rarely
CUST-00065,54.0,29,0,Fashion,5,Single,0,16.0,230.84,Daily
CUST-00066,5.0,26,0,Laptop & Accessory,5,Single,0,12.0,248.11,Weekly
CUST-00067,51.0,41,1,Fashion,1,Single,0,28.0,66.1,Rarely
CUST-00068,49.0,34,0,Fashion,4,Married,0,16.0,84.24,Rarely
CUST-00069,48.0,25,0,Grocery,4,Divorced,0,30.0,277.42,Rarely
CUST-00070,58.0,14,0,Mobile Phone,5,Married,1,31.0,55.36,Rarely
CUST-00071,19.0,36,1,Fashion,1,Married,0,4.0,265.55,Monthly
CUST-00072,16.0,6,1,Grocery,1,Single,1,32.0,379.08,Rarely
CUST-00073,24.0,16,1,Mobile Phone,2,Married,0,33.0,210.39,Rarely
CUST-00074,51.0,47,0,Others,5,Divorced,0,1.0,386.42,Monthly
CUST-00075,10.0,47,0,Others,4,Divorced,0,12.0,85.27,Weekly
CUST-00076,2.0,39,0,Mobile Phone,1,Single,0,29.0,,Monthly
CUST-00077,26.0,38,0,Fashion,3,Divorced,0,4.0,292.51,Weekly
CUST-00078,50.0,49,1,Mobile Phone,3,Married,1,36.0,196.28,Daily
CUST-00079,57.0,40,0,Laptop & Accessory,2,Divorced,0,24.0,332.39,Weekly
CUST-00080,49.0,39,0,Others,4,Divorced,0,39.0,253.19,Weekly
CUST-00081,23.0,36,0,Others,5,Divorced,0,13.0,308.97,Daily
CUST-00082,35.0,45,1,Mobile Phone,1,Single,0,20.0,339.26,Weekly
CUST-00083,22.0,17,0,Fashion,3,Married,0,36.0,53.79,Rarely
CUST-00084,41.0,23,0,Grocery,4,Single,0,28.0,382.52,Daily
CUST-00085,52.0,23,0,Others,2,Married,0,5.0,152.62,Monthly
CUST-00086,25.0,25,0,Laptop & Accessory,4,Married,1,16.0,326.37,Daily
CUST-00087,45.0,46,1,Others,2,Divorced,0,31.0,69.55,Daily
CUST-00088,35.0,27,0,Grocery,5,Divorced,0,18.0,389.03,Monthly
CUST-00089,9.0,14,0,Fashion,2,Married,0,38.0,79.44,Daily
CUST-00090,13.0,44,0,Laptop & Accessory,2,Divorced,0,27.0,297.18,Rarely
CUST-00091,5.0,33,0,Others,5,Single,0,8.0,180.99,Rarely
CUST-00092,1.0,26,0,Fashion,4,Single,0,7.0,395.1,Weekly
CUST-00093,4.0,40,0,Mobile Phone,4,Single,0,44.0,245.44,Monthly
CUST-00094,27.0,14,0,Mobile Phone,2,Single,0,3.0,138.79,Rarely
CUST-00095,50.0,32,1,Others,2,Married,1,8.0,91.13,Weekly
CUST-00096,41.0,43,0,Fashion,1,Married,0,28.0,386.76,Monthly
CUST-00097,60.0,29,1,Grocery,1,Single,0,6.0,330.74,Rarely
CUST-00098,45.0,36,0,Mobile Phone,5,Divorced,0,21.0,65.19,Rarely
CUST-00099,21.0,15,0,Mobile Phone,4,Married,0,35.0,293.39,Rarely
CUST-00100,,22,0,Others,1,Single,0,15.0,209.09,Rarely
CUST-00101,53.0,7,1,Fashion,1,Married,1,10.0,382.64,Rarely
CUST-00102,8.0,42,1,Grocery,4,Divorced,0,8.0,109.39,Daily
CUST-00103,36.0,30,1,Laptop & Accessory,2,Single,0,28.0,,Rarely
CUST-00104,41.0,40,0,Mobile Phone,3,Married,0,17.0,147.92,Weekly
CUST-00105,53.0,24,1,Mobile Phone,5,Divorced,0,29.0,96.61,Rarely
CUST-00106,35.0,10,0,Fashion,2,Married,0,5.0,264.7,Weekly
CUST-00107,2.0,14,1,Fashion,2,Married,0,5.0,59.23,Weekly
CUST-00108,33.0,5,0,Fashion,2,Divorced,1,11.0,257.95,Daily
CUST-00109,25.0,26,1,Others,3,Single,1,13.0,72.23,Rarely
CUST-00110,41.0,39,0,Others,1,Single,0,6.0,292.1,Monthly
CUST-00111,5.0,35,1,Laptop & Accessory,5,Divorced,1,,319.15,Monthly
CUST-00112,37.0,14,0,Mobile Phone,2,Married,0,21.0,207.69,Weekly
CUST-00113,46.0,5,0,Grocery,3,Married,0,4.0,130.02,Monthly
CUST-00114,49.0,44,0,Grocery,2,Divorced,0,8.0,57.76,Monthly
CUST-00115,58.0,38,0,Others,3,Married,0,12.0,335.74,Rarely
CUST-00116,44.0,9,0,Fashion,3,Divorced,0,23.0,314.3,Weekly
CUST-00117,21.0,18,1,Laptop & Accessory,2,Single,1,39.0,97.73,Monthly
CUST-00118,60.0,38,0,Others,2,Divorced,0,30.0,244.19,Rarely
CUST-00119,51.0,38,0,Laptop & Accessory,4,Married,0,33.0,324.28,Monthly
CUST-00120,60.0,34,1,Fashion,2,Divorced,1,5.0,328.77,Daily
CUST-00121,10.0,21,0,Others,2,Divorced,1,20.0,210.7,Daily
CUST-00122,34.0,10,0,Mobile Phone,5,Divorced,0,43.0,252.88,Weekly
CUST-00123,11.0,27,0,Mobile Phone,3,Single,0,8.0,113.02,Monthly
CUST-00124,4.0,29,1,Fashion,3,Divorced,1,27.0,283.65,Daily
CUST-00125,50.0,23,0,Others,5,Married,0,28.0,171.67,Daily
CUST-00126,22.0,25,0,Grocery,1,Married,0,12.0,122.22,Daily
CUST-00127,34.0,18,1,Laptop & Accessory,2,Single,0,9.0,82.3,Monthly
CUST-00128,47.0,26,0,Others,3,Divorced,1,17.0,146.91,Monthly
CUST-00129,1.0,12,1,Mobile Phone,1,Divorced,0,15.0,237.81,Rarely
CUST-00130,56.0,26,1,Fashion,2,Married,1,14.0,211.89,Monthly
CUST-00131,45.0,30,0,Fashion,3,Single,0,7.0,290.51,Weekly
CUST-00132,23.0,47,0,Grocery,4,Divorced,0,38.0,236.42,Daily
CUST-00133,15.0,29,0,Laptop & Accessory,5,Single,0,39.0,162.73,Monthly
CUST-00134,39.0,26,0,Others,2,Divorced,0,25.0,361.68,Daily
CUST-00135,20.0,29,0,Fashion,4,Married,0,41.0,224.45,Daily
CUST-00136,47.0,40,0,Others,2,Single,0,40.0,201.08,Weekly
CUST-00137,19.0,46,1,Laptop & Accessory,1,Divorced,0,26.0,262.64,Daily
CUST-00138,59.0,49,0,Grocery,5,Divorced,1,22.0,128.87,Rarely
CUST-00139,,200,0,Others,3,Married,0,30.0,110.68,Monthly
CUST-00140,55.0,13,0,Fashion,3,Married,0,40.0,293.94,Monthly
CUST-00141,24.0,35,1,Fashion,2,Divorced,0,11.0,352.93,Daily
CUST-00142,6.0,34,0,Others,3,Married,1,2.0,244.87,Rarely
CUST-00143,8.0,30,1,Grocery,3,Divorced,1,5.0,115.47,Monthly
CUST-00144,54.0,8,0,Fashion,3,Married,0,20.0,134.84,Weekly
CUST-00145,47.0,5,0,Fashion,2,Married,1,38.0,253.43,Weekly
CUST-00146,11.0,40,0,Grocery,5,Single,0,33.0,179.23,Rarely
CUST-00147,56.0,14,0,Fashion,5,Divorced,0,44.0,120.61,Monthly
CUST-00148,40.0,6,0,Laptop & Accessory,4,Divorced,0,,50.95,Monthly
CUST-00149,9.0,15,0,Others,3,Single,0,5.0,340.72,Rarely
CUST-00150,44.0,18,0,Mobile Phone,5,Divorced,1,9.0,121.75,Monthly
CUST-00151,,39,1,Laptop & Accessory,1,Divorced,1,22.0,66.83,Weekly
CUST-00152,29.0,12,1,Grocery,3,Married,1,14.0,329.84,Rarely
CUST-00153,35.0,25,1,Grocery,5,Divorced,1,14.0,233.07,Monthly
CUST-00154,4.0,29,1,Mobile Phone,5,Divorced,0,18.0,335.81,Monthly
CUST-00155,39.0,44,0,Grocery,3,Divorced,0,33.0,311.66,Monthly
CUST-00156,,37,1,Grocery,1,Divorced,0,2.0,240.24,Monthly
CUST-00157,40.0,44,0,Mobile Phone,3,Single,0,6.0,378.94,Daily
CUST-00158,7.0,12,0,Fashion,2,Divorced,0,15.0,357.52,Weekly
CUST-00159,33.0,34,0,Grocery,3,Divorced,1,38.0,313.34,Daily
CUST-00160,37.0,31,0,Mobile Phone,1,Married,0,22.0,299.92,Weekly
CUST-00161,5.0,14,0,Grocery,1,Married,0,13.0,88.72,Monthly
CUST-00162,36.0,49,0,Laptop & Accessory,4,Married,0,29.0,238.95,Rarely
CUST-00163,29.0,8,0,Fashion,4,Single,1,27.0,274.4,Rarely
CUST-00164,51.0,40,1,Laptop & Accessory,4,Married,1,27.0,170.99,Rarely
CUST-00165,11.0,14,0,Fashion,2,Single,1,12.0,369.15,Weekly
CUST-00166,40.0,22,0,Others,1,Married,0,,355.24,Daily
CUST-00167,12.0,48,1,Laptop & Accessory,4,Married,1,5.0,372.87,Monthly
CUST-00168,8.0,46,1,Others,1,Married,0,9.0,5000.0,Daily
CUST-00169,29.0,18,1,Mobile Phone,1,Married,1,23.0,92.98,Daily
CUST-00170,,25,1,Grocery,2,Single,1,23.0,372.29,Rarely
CUST-00171,54.0,44,0,Laptop & Accessory,5,Single,0,9.0,121.95,Monthly
CUST-00172,57.0,30,1,Grocery,1,Divorced,0,25.0,352.23,Weekly
CUST-00173,38.0,6,0,Laptop & Accessory,2,Single,0,27.0,208.28,Monthly
CUST-00174,43.0,48,0,Fashion,3,Single,0,,252.17,Monthly
CUST-00175,52.0,10,0,Grocery,5,Married,1,29.0,253.21,Rarely
CUST-00176,22.0,30,0,Grocery,4,Single,0,7.0,391.44,Daily
CUST-00177,41.0,24,0,Fashion,4,Married,0,40.0,225.77,Rarely
CUST-00178,1.0,36,1,Others,5,Married,0,19.0,172.29,Rarely
CUST-00179,30.0,33,0,Mobile Phone,1,Divorced,0,30.0,342.8,Daily
CUST-00180,19.0,22,1,Fashion,1,Married,1,,237.06,Rarely
CUST-00181,49.0,34,0,Others,3,Single,0,1.0,167.03,Weekly
CUST-00182,55.0,43,0,Others,3,Married,0,10.0,364.1,Rarely
CUST-00183,34.0,37,1,Grocery,4,Divorced,1,7.0,280.62,Weekly
CUST-00184,1.0,7,0,Fashion,3,Divorced,0,8.0,86.44,Monthly
CUST-00185,47.0,41,1,Mobile Phone,3,Divorced,1,28.0,133.36,Monthly
CUST-00186,34.0,39,1,Others,3,Divorced,1,37.0,99.38,Monthly
CUST-00187,14.0,35,1,Grocery,2,Divorced,0,7.0,307.57,Rarely
CUST-00188,21.0,23,1,Others,5,Divorced,1,29.0,197.5,Monthly
CUST-00189,2.0,5,0,Laptop & Accessory,5,Divorced,0,42.0,338.79,Daily
CUST-00190,3.0,27,1,Fashion,4,Divorced,1,37.0,193.29,Daily
CUST-00191,30.0,13,1,Mobile Phone,2,Divorced,1,35.0,381.96,Weekly
CUST-00192,22.0,48,1,Laptop & Accessory,1,Single,1,23.0,329.95,Daily
CUST-00193,17.0,21,1,Grocery,1,Single,0,25.0,140.26,Monthly
CUST-00194,54.0,26,0,Laptop & Accessory,3,Divorced,0,26.0,233.99,Weekly
CUST-00195,45.0,38,0,Fashion,5,Divorced,0,18.0,235.38,Rarely
CUST-00196,42.0,40,0,Mobile Phone,1,Single,0,17.0,191.84,Daily
CUST-00197,38.0,16,0,Others,5,Married,0,21.0,142.29,Monthly
CUST-00198,31.0,10,0,Grocery,3,Single,0,12.0,271.58,Rarely
CUST-00199,53.0,11,0,Grocery,2,Divorced,1,26.0,191.53,Monthly
CUST-00200,58.0,6,0,Laptop & Accessory,4,Married,1,1.0,78.98,Rarely
CUST-00201,36.0,30,0,Fashion,5,Divorced,0,40.0,203.02,Daily
CUST-00202,36.0,43,1,Mobile Phone,3,Single,1,,377.89,Rarely
CUST-00203,5.0,37,1,Others,2,Divorced,0,20.0,106.7,Weekly
CUST-00204,52.0,47,0,Others,1,Married,0,43.0,166.99,Rarely
CUST-00205,26.0,6,0,Fashion,5,Divorced,0,40.0,304.87,Daily
CUST-00206,25.0,47,0,Others,2,Single,0,35.0,336.69,Rarely
CUST-00207,37.0,48,0,Others,4,Single,1,38.0,256.58,Daily
CUST-00208,19.0,41,1,Grocery,4,Divorced,1,17.0,382.58,Daily
CUST-00209,55.0,16,1,Grocery,3,Single,1,21.0,315.66,Monthly
CUST-00210,37.0,20,1,Mobile Phone,1,Married,1,12.0,127.42,Weekly
CUST-00211,26.0,45,0,Grocery,5,Divorced,0,32.0,296.95,Monthly
CUST-00212,7.0,21,0,Grocery,2,Divorced,0,7.0,61.88,Rarely
CUST-00213,53.0,11,0,Grocery,1,Married,0,8.0,389.87,Monthly
CUST-00214,23.0,33,1,Others,2,Single,1,39.0,209.3,Weekly
CUST-00215,59.0,46,0,Grocery,1,Divorced,0,24.0,130.5,Daily
CUST-00216,60.0,49,1,Grocery,2,Married,1,43.0,168.96,Weekly
CUST-00217,55.0,27,0,Others,4,Single,0,4.0,326.75,Daily
CUST-00218,25.0,17,0,Grocery,2,Married,0,42.0,-50.0,Weekly
CUST-00219,2.0,39,1,Fashion,2,Married,1,13.0,235.13,Rarely
CUST-00220,32.0,36,0,Laptop & Accessory,3,Single,0,29.0,318.52,Monthly
CUST-00221,29.0,48,0,Mobile Phone,1,Divorced,0,44.0,394.43,Weekly
CUST-00222,10.0,34,1,Mobile Phone,1,Single,0,20.0,,Weekly
CUST-00223,30.0,7,0,Fashion,5,Married,0,30.0,348.49,Daily
CUST-00224,18.0,41,0,Others,1,Divorced,0,15.0,199.72,Monthly
CUST-00225,49.0,28,0,Mobile Phone,4,Married,0,37.0,325.22,Rarely
CUST-00226,43.0,10,1,Mobile Phone,3,Divorced,1,34.0,108.46,Weekly
CUST-00227,52.0,8,0,Laptop & Accessory,3,Divorced,0,29.0,277.38,Daily
CUST-00228,53.0,49,1,Laptop & Accessory,2,Married,0,26.0,62.86,Weekly
CUST-00229,58.0,7,1,Grocery,5,Married,0,23.0,359.33,Daily
CUST-00230,,24,1,Others,2,Single,0,42.0,230.34,Daily
CUST-00231,18.0,21,1,Laptop & Accessory,3,Married,1,38.0,268.03,Monthly
CUST-00232,47.0,29,1,Grocery,1,Married,1,37.0,82.02,Rarely
CUST-00233,41.0,-5,0,Others,3,Single,0,9.0,65.53,Rarely
CUST-00234,34.0,16,0,Others,2,Divorced,1,40.0,376.06,Rarely
CUST-00235,11.0,38,0,Laptop & Accessory,4,Divorced,0,8.0,293.5,Daily
CUST-00236,48.0,30,0,Others,2,Single,0,13.0,363.07,Daily
CUST-00237,13.0,21,0,Mobile Phone,2,Divorced,0,32.0,230.63,Daily
CUST-00238,51.0,7,1,Fashion,2,Divorced,0,13.0,143.46,Weekly
CUST-00239,6.0,28,1,Mobile Phone,3,Divorced,1,,347.7,Rarely
CUST-00240,59.0,45,1,Grocery,5,Divorced,1,25.0,375.53,Rarely
CUST-00241,36.0,31,0,Mobile Phone,4,Divorced,0,43.0,386.46,Rarely
CUST-00242,57.0,35,1,Fashion,2,Single,0,43.0,130.02,Daily
CUST-00243,39.0,35,1,Others,2,Divorced,1,14.0,314.82,Daily
CUST-00244,12.0,43,0,Fashion,2,Married,0,27.0,393.42,Daily
CUST-00245,17.0,44,0,Others,2,Divorced,0,24.0,336.54,Weekly
CUST-00246,48.0,10,0,Fashion,3,Married,1,10.0,201.28,Monthly
CUST-00247,34.0,32,0,Fashion,4,Single,0,37.0,85.88,Monthly
CUST-00248,4.0,24,0,Grocery,4,Divorced,0,27.0,108.23,Monthly
CUST-00249,12.0,26,0,Fashion,1,Divorced,0,1.0,70.27,Monthly
CUST-00250,56.0,22,1,Mobile Phone,2,Married,1,29.0,206.09,Weekly
CUST-00251,59.0,39,1,Laptop & Accessory,4,Single,1,7.0,72.97,Daily
CUST-00252,33.0,10,1,Grocery,3,Divorced,0,23.0,206.07,Monthly
CUST-00253,,38,0,Others,5,Divorced,1,35.0,207.99,Rarely
CUST-00254,39.0,19,0,Grocery,5,Divorced,0,32.0,78.83,Weekly
CUST-00255,14.0,24,0,Grocery,3,Married,0,17.0,387.13,Daily
CUST-00256,56.0,32,1,Laptop & Accessory,5,Single,1,16.0,350.08,Daily
CUST-00257,20.0,10,0,Fashion,3,Married,0,3.0,159.18,Daily
CUST-00258,58.0,42,0,Laptop & Accessory,2,Married,0,25.0,300.22,Daily
CUST-00259,18.0,19,0,Mobile Phone,4,Single,0,8.0,105.74,Weekly
CUST-00260,25.0,21,0,Others,5,Married,1,15.0,208.79,Monthly
CUST-00261,50.0,11,1,Laptop & Accessory,3,Married,1,44.0,61.38,Daily
CUST-00262,60.0,7,1,Laptop & Accessory,4,Married,1,25.0,50.43,Monthly
CUST-00263,7.0,21,0,Grocery,4,Divorced,0,9.0,120.18,Daily
CUST-00264,57.0,26,0,Mobile Phone,5,Divorced,0,24.0,,Rarely
CUST-00265,13.0,21,0,Laptop & Accessory,5,Single,0,18.0,217.98,Weekly
CUST-00266,31.0,42,0,Others,3,Divorced,0,,383.43,Monthly
CUST-00267,41.0,12,0,Others,3,Single,0,24.0,101.07,Weekly
CUST-00268,12.0,36,0,Grocery,4,Married,1,10.0,321.53,Monthly
CUST-00269,50.0,37,0,Grocery,2,Single,0,,172.72,Daily
CUST-00270,33.0,17,0,Fashion,4,Married,0,39.0,96.45,Rarely
CUST-00271,39.0,30,0,Grocery,2,Single,1,34.0,64.41,Monthly
CUST-00272,44.0,44,0,Fashion,3,Single,0,6.0,258.17,Rarely
CUST-00273,9.0,43,1,Others,1,Single,1,8.0,381.57,Daily
CUST-00274,28.0,24,1,Grocery,3,Married,0,11.0,363.19,Weekly
CUST-00275,4.0,10,0,Grocery,2,Divorced,1,3.0,64.26,Rarely
CUST-00276,60.0,46,1,Others,3,Divorced,1,12.0,136.49,Daily
CUST-00277,13.0,29,0,Grocery,5,Divorced,0,19.0,,Monthly
CUST-00278,36.0,49,1,Others,5,Divorced,1,32.0,224.37,Weekly
CUST-00279,18.0,10,0,Grocery,2,Single,0,37.0,398.72,Daily
CUST-00280,41.0,7,0,Grocery,4,Married,0,35.0,127.2,Weekly
CUST-00281,54.0,19,1,Laptop & Accessory,1,Single,1,30.0,386.27,Daily
CUST-00282,58.0,28,0,Others,4,Single,0,28.0,179.86,Weekly
CUST-00283,,28,1,Grocery,2,Divorced,1,32.0,255.82,Rarely
CUST-00284,58.0,38,1,Fashion,4,Single,1,34.0,327.53,Daily
CUST-00285,39.0,46,0,Grocery,3,Divorced,0,12.0,184.35,Monthly
CUST-00286,18.0,44,1,Fashion,5,Divorced,1,35.0,321.6,Daily
CUST-00287,36.0,34,0,Grocery,2,Married,0,14.0,229.42,Weekly
CUST-00288,37.0,9,0,Others,5,Single,0,14.0,230.19,Weekly
CUST-00289,25.0,24,0,Grocery,2,Single,0,17.0,186.88,Weekly
CUST-00290,57.0,32,1,Grocery,2,Divorced,1,5.0,163.82,Rarely
CUST-00291,40.0,16,1,Mobile Phone,4,Married,1,31.0,132.62,Rarely
CUST-00292,3.0,18,0,Fashion,2,Divorced,0,12.0,340.11,Daily
CUST-00293,1.0,9,0,Fashion,4,Single,0,12.0,297.37,Daily
CUST-00294,54.0,24,0,Mobile Phone,4,Single,0,37.0,174.86,Monthly
CUST-00295,12.0,41,1,Others,1,Single,1,44.0,206.23,Monthly
CUST-00296,47.0,19,0,Laptop & Accessory,4,Divorced,0,20.0,144.41,Weekly
CUST-00297,2.0,13,1,Mobile Phone,5,Single,1,29.0,274.0,Weekly
CUST-00298,35.0,10,1,Grocery,5,Married,1,5.0,86.16,Rarely
CUST-00299,51.0,18,0,Grocery,4,Married,0,,290.09,Rarely
CUST-00300,34.0,29,1,Fashion,2,Divorced,1,39.0,209.16,Daily
CUST-00301,47.0,47,1,Fashion,2,Married,0,38.0,98.88,Weekly
CUST-00302,45.0,20,0,Laptop & Accessory,2,Married,0,8.0,389.47,Daily
CUST-00303,1.0,12,0,Fashion,5,Single,0,5.0,387.17,Weekly
CUST-00304,47.0,38,1,Mobile Phone,1,Divorced,1,26.0,181.0,Daily
CUST-00305,30.0,22,0,Mobile Phone,1,Single,1,40.0,5000.0,Rarely
CUST-00306,27.0,12,0,Mobile Phone,1,Married,0,33.0,260.21,Rarely
CUST-00307,31.0,20,0,Grocery,5,Single,0,41.0,87.31,Weekly
CUST-00308,28.0,6,1,Mobile Phone,2,Married,0,9.0,353.25,Weekly
CUST-00309,25.0,17,1,Others,1,Single,0,31.0,308.46,Rarely
CUST-00310,4.0,38,1,Others,5,Divorced,1,4.0,283.66,Monthly
CUST-00311,6.0,38,1,Mobile Phone,2,Divorced,1,23.0,202.45,Rarely
CUST-00312,11.0,5,0,Others,1,Married,0,1.0,178.26,Daily
CUST-00313,7.0,19,0,Grocery,5,Divorced,0,29.0,207.04,Monthly
CUST-00314,,36,1,Fashion,1,Single,0,38.0,75.62,Weekly
CUST-00315,35.0,12,1,Grocery,2,Married,1,9.0,182.93,Rarely
CUST-00316,26.0,12,0,Mobile Phone,2,Single,0,29.0,169.44,Monthly
CUST-00317,12.0,9,0,Mobile Phone,2,Divorced,0,15.0,236.76,Daily
CUST-00318,,47,1,Mobile Phone,2,Divorced,1,43.0,,Daily
CUST-00319,23.0,47,0,Fashion,5,Divorced,1,25.0,279.14,Weekly
CUST-00320,51.0,19,0,Grocery,4,Married,1,22.0,118.1,Monthly
CUST-00321,14.0,8,0,Grocery,5,Single,0,27.0,375.36,Weekly
CUST-00322,28.0,39,1,Laptop & Accessory,2,Divorced,0,,189.97,Daily
CUST-00323,13.0,8,0,Others,2,Single,0,11.0,93.13,Rarely
CUST-00324,44.0,14,0,Others,5,Single,0,42.0,114.83,Daily
CUST-00325,56.0,40,0,Fashion,4,Married,0,7.0,335.51,Monthly
CUST-00326,44.0,49,0,Grocery,2,Single,0,13.0,260.56,Monthly
CUST-00327,54.0,25,1,Mobile Phone,4,Single,0,,276.31,Daily
CUST-00328,24.0,46,1,Laptop & Accessory,1,Married,0,37.0,155.72,Rarely
CUST-00329,24.0,23,0,Mobile Phone,4,Single,0,10.0,333.34,Monthly
CUST-00330,19.0,40,0,Laptop & Accessory,2,Divorced,0,5.0,108.8,Daily
CUST-00331,35.0,48,1,Mobile Phone,2,Single,0,21.0,83.5,Monthly
CUST-00332,48.0,41,0,Mobile Phone,3,Married,0,32.0,273.29,Daily
CUST-00333,9.0,18,0,Grocery,5,Married,0,25.0,395.72,Daily
CUST-00334,35.0,11,0,Fashion,5,Single,0,42.0,199.87,Daily
CUST-00335,39.0,45,0,Fashion,1,Single,0,24.0,94.94,Monthly
CUST-00336,19.0,8,1,Grocery,2,Single,0,32.0,,Daily
